start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
8 Ave & W 33 St,W 37 St & 10 Ave,40.75158732196738,-73.99389303600293,40.75660359152238,-73.9979009003713,1094
8 Ave & W 38 St,8 Ave & W 38 St,40.75458889878602,-73.99176365031255,40.75461,-73.99177,1021
9 Ave & W 22 St,W 21 St & 6 Ave,40.74549890434546,-74.00197202332599,40.74173969130852,-73.99415556185724,2117
9 Ave & W 22 St,W 22 St & 8 Ave,40.74549890434546,-74.00197202332599,40.74475147756139,-73.99915362193057,1250
Adelphi St & Myrtle Ave,Willoughby St & Fleet St,40.693067564046196,-73.9717968756686,40.69196566100712,-73.98130180059242,1174
Allen St & Rivington St,Allen St & Rivington St,40.720200021213394,-73.98997629136295,40.720195761983426,-73.98997824793392,1097
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,40.77965331070258,-73.98091985403985,40.782939099494655,-73.97865170151604,1945
Amsterdam Ave & W 79 St,Columbus Ave & W 72 St,40.782922739036906,-73.97863490873395,40.77705750264476,-73.97898475132237,1026
Ave A & E 14 St,E 11 St & Avenue B,40.730295015239484,-73.98048178454502,40.727464206498674,-73.97950418255881,1262
Berry St & N 8 St,Franklin St & Dupont St,40.71900702552422,-73.95853422327451,40.73564,-73.95866,1006
Broadway & W 41 St,6 Ave & W 34 St,40.75514236079343,-73.98660221908678,40.74964,-73.98805,1821
Broadway & W 58 St,Broadway & W 58 St,40.76693332856349,-73.98171635356071,40.766953168175384,-73.9816933264581,1522
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,40.698467865011374,-73.99717519095982,40.698458,-73.997178,1284
Canal St & Rutgers St,Henry St & Grand St,40.714283400204664,-73.98989959762233,40.714211,-73.981095,1081
Center Blvd & 51 Ave,Center Blvd & 51 Ave,40.7433605814895,-73.95960351727557,40.74336607898324,-73.95960688773923,1224
Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,40.7433605814895,-73.95960351727557,40.74232743830254,-73.95411748810965,2231
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,40.79948899790971,-73.95562193080073,40.799484,-73.955613,2862
Central Park S & 6 Ave,5 Ave & E 72 St,40.76591379535276,-73.97634906049427,40.77282816412107,-73.96685276829966,1103
Central Park S & 6 Ave,5 Ave & E 87 St,40.76591379535276,-73.97634906049427,40.78232262533018,-73.95987510190973,1200
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,40.76591379535276,-73.97634906049427,40.799484,-73.955613,1904
Central Park S & 6 Ave,Central Park S & 6 Ave,40.76591379535276,-73.97634906049427,40.76590934480404,-73.9763415306834,3525
Central Park W & W 91 St,Central Park W & W 91 St,40.788658572159804,-73.96678689864422,40.78866499148473,-73.96680058062783,1102
