date,bike_rides_daily,temp,month,season,start_station_name,value,rideable_type,ride_duration
2022-04-29,403.0,10.4,4,winter,West End Ave & W 60 St,1,classic_bike,16
2022-04-30,466.0,12.9,4,winter,Waterbury St & Stagg St,1,electric_bike,16
2022-05-01,324.0,13.6,5,spring,Grand St & Havemeyer St,1,classic_bike,7
2022-05-02,200.0,12.1,5,spring,2 Ave & E 55 St,1,electric_bike,4
2022-05-03,328.0,12.4,5,spring,W 15 St & 6 Ave,1,classic_bike,15
2022-05-04,256.0,12.0,5,spring,Grand Army Plaza & Plaza St West,1,classic_bike,15
2022-05-05,361.0,17.2,5,spring,Front St & Jay St,1,classic_bike,16
2022-05-06,114.0,14.8,5,spring,E 84 St & 1 Ave,1,classic_bike,4
2022-05-07,67.0,10.0,5,spring,E 41 St & Madison Ave (SE corner),1,electric_bike,5
2022-05-08,226.0,10.4,5,spring,W 12 St & Hudson St,1,classic_bike,18
2022-05-09,321.0,13.5,5,spring,W 27 St & 7 Ave,1,electric_bike,42
2022-05-10,371.0,15.4,5,spring,W 12 St & Hudson St,1,classic_bike,10
2022-05-11,372.0,16.1,5,spring,W 12 St & Hudson St,1,classic_bike,17
2022-05-12,396.0,17.1,5,spring,Sterling St & Bedford Ave,1,electric_bike,24
2022-05-13,348.0,16.0,5,spring,Forsyth St\t& Grand St,1,classic_bike,5
2022-05-14,274.0,17.9,5,spring,W 12 St & Hudson St,1,classic_bike,8
2022-05-15,391.0,18.8,5,spring,E 58 St & 3 Ave,1,classic_bike,14
2022-05-16,258.0,20.4,5,spring,W 27 St & 7 Ave,1,classic_bike,9
2022-05-17,404.0,19.7,5,spring,8 Ave & W 38 St,1,classic_bike,28
2022-05-18,380.0,17.8,5,spring,W 111 St & 5 Ave,1,classic_bike,9
2022-05-19,308.0,15.5,5,spring,W 24 St & 7 Ave,1,classic_bike,12
2022-05-20,310.0,15.4,5,spring,Barrow St & Hudson St,1,electric_bike,6
2022-05-21,391.0,21.2,5,spring,Amsterdam Ave & W 79 St,1,electric_bike,34
2022-05-22,384.0,27.8,5,spring,W 22 St & 8 Ave,1,electric_bike,7
2022-05-23,394.0,21.0,5,spring,Henry St & Atlantic Ave,1,classic_bike,18
2022-05-24,350.0,17.4,5,spring,Rivington St & Ridge St,1,electric_bike,8
2022-05-25,389.0,16.2,5,spring,21 St & Hoyt Ave S,1,classic_bike,4
2022-05-26,390.0,16.4,5,spring,67 St & Ridge Blvd,1,electric_bike,27
2022-05-27,311.0,20.2,5,spring,E 58 St & 3 Ave,1,classic_bike,5
2022-05-28,263.0,20.4,5,spring,2 Ave & E 55 St,1,classic_bike,12
2022-05-29,349.0,20.7,5,spring,Gerard Ave & E 164 St,1,electric_bike,11
2022-05-30,362.0,23.3,5,spring,Pike St & E Broadway,1,classic_bike,39
2022-05-31,378.0,28.3,5,spring,Madison St & Montgomery St,1,classic_bike,8
2022-06-01,254.0,17.8,6,summer,Amsterdam Ave & W 131 St,1,classic_bike,3
2022-06-02,280.0,20.3,6,summer,Carlton Ave & Dean St,1,classic_bike,9
2022-06-03,364.0,19.5,6,summer,Spruce St & Nassau St,1,classic_bike,22
2022-06-04,345.0,21.9,6,summer,62 St & Northern Blvd,1,electric_bike,66
2022-06-05,310.0,20.0,6,summer,Greenwich Ave & Charles St,1,electric_bike,31
2022-06-06,341.0,22.2,6,summer,Broadway & W 37 St,1,classic_bike,5
2022-06-07,316.0,21.8,6,summer,W 30 St & 8 Ave,1,classic_bike,7
2022-06-08,375.0,23.7,6,summer,Broadway & W 61 St,1,electric_bike,8
2022-06-09,367.0,24.4,6,summer,6 Ave & W 45 St,1,classic_bike,10
2022-06-10,331.0,21.8,6,summer,E 66 St & Madison Ave,1,electric_bike,2
2022-06-11,344.0,21.8,6,summer,18 St & 27 Ave,1,classic_bike,48
2022-06-12,257.0,20.5,6,summer,Bond St & Fulton St,1,classic_bike,9
2022-06-13,346.0,24.2,6,summer,E 50 St & Park Ave,1,classic_bike,7
2022-06-14,352.0,23.9,6,summer,E 30 St & Park Ave S,1,classic_bike,5
2022-06-15,380.0,23.3,6,summer,Fulton St & Adams St,1,classic_bike,5
2022-06-16,294.0,20.3,6,summer,Rogers Ave & Sterling St,1,classic_bike,56
